Sample	Cell type	Stress	Time (h)
ERR3393443	Asexual large cell	Salinity shift	40
ERR3393444	Asexual large cell	Salinity shift	40
ERR3393445	Asexual large cell	Salinity shift	52
ERR3393446	Asexual large cell	Salinity shift	52
ERR3393447	Sexual small cell	Salinity shift	40
ERR3393448	Sexual small cell	Salinity shift	40
ERR3393449	Sexual small cell	Salinity shift	40
ERR3393450	Sexual small cell	Salinity shift	52
ERR3393451	Sexual small cell	Salinity shift	52
ERR3393452	Sexual small cell	Salinity shift	52
ERR3393453	Asexual large cell	None	52
ERR3393454	Asexual large cell	None	52
ERR3393455	Asexual large cell	None	40
ERR3393456	Asexual large cell	None	40
