Sample	BalticLocation	Isolate	Source	Salinity (ppt)	BioRep	TechRep
SRR16492726	Sweden	F.1.2a	Sediment	24	 4	3
SRR16492727	Sweden	F.1.2a	Sediment	24	 4	2
SRR16492728	Sweden	F.1.2a	Sediment	24	 4	1
SRR16492729	Sweden	A.2.21b	Sediment	24	 1	1
SRR16492730	Sweden	F.1.2a	Sediment	16	 4	3
SRR16492731	Sweden	F.1.2a	Sediment	16	 4	2
SRR16492732	Sweden	F.1.2a	Sediment	16	 4	1
SRR16492733	Sweden	D.1.27a	Sediment	8	 3	3
SRR16492734	Sweden	D.1.27a	Sediment	8	 3	2
SRR16492735	Sweden	D.1.27a	Sediment	8	 3	1
SRR16492736	Sweden	D.1.27a	Sediment	24	 3	3
SRR16492737	Sweden	D.1.27a	Sediment	24	 3	2
SRR16492738	Sweden	D.1.27a	Sediment	24	 3	1
SRR16492739	Sweden	D.1.27a	Sediment	16	 3	3
SRR16492740	Sweden	A.2.21b	Sediment	16	 1	3
SRR16492741	Sweden	D.1.27a	Sediment	16	 3	2
SRR16492742	Sweden	D.1.27a	Sediment	16	 3	1
SRR16492743	Sweden	B.2.19b	Sediment	8	 2	3
SRR16492744	Sweden	B.2.19b	Sediment	8	 2	2
SRR16492745	Sweden	B.2.19b	Sediment	8	 2	1
SRR16492746	Sweden	B.2.19b	Sediment	24	 2	3
SRR16492747	Sweden	B.2.19b	Sediment	24	 2	2
SRR16492748	Sweden	B.2.19b	Sediment	24	 2	1
SRR16492749	Sweden	B.2.19b	Sediment	16	 2	3
SRR16492750	Sweden	B.2.19b	Sediment	16	 2	1
SRR16492751	Sweden	A.2.21b	Sediment	8	 1	3
SRR16492752	Poland	P.2.6a	Water	8	 8	3
SRR16492753	Poland	P.2.6a	Water	8	 8	2
SRR16492754	Sweden	A.2.21b	Sediment	8	 1	2
SRR16492755	Poland	P.2.6a	Water	8	 8	1
SRR16492756	Poland	P.2.6a	Water	24	 8	3
SRR16492757	Poland	P.2.6a	Water	24	 8	2
SRR16492758	Poland	P.2.6a	Water	24	 8	1
SRR16492759	Poland	P.2.6a	Water	16	 8	3
SRR16492760	Poland	P.2.6a	Water	16	 8	2
SRR16492761	Poland	P.2.6a	Water	16	 8	1
SRR16492762	Estonia	K.3.3a	Sediment	8	 7	3
SRR16492763	Estonia	K.3.3a	Sediment	8	 7	2
SRR16492764	Estonia	K.3.3a	Sediment	8	 7	1
SRR16492765	Sweden	A.2.21b	Sediment	8	 1	1
SRR16492766	Estonia	K.3.3a	Sediment	24	 7	3
SRR16492767	Estonia	K.3.3a	Sediment	24	 7	2
SRR16492768	Estonia	K.3.3a	Sediment	24	 7	1
SRR16492769	Estonia	K.3.3a	Sediment	16	 7	3
SRR16492770	Estonia	K.3.3a	Sediment	16	 7	2
SRR16492771	Estonia	K.3.3a	Sediment	16	 7	1
SRR16492772	Finland	J.3.42b	Sediment	8	 6	3
SRR16492773	Finland	J.3.42b	Sediment	8	 6	2
SRR16492774	Finland	J.3.42b	Sediment	8	 6	1
SRR16492775	Finland	J.3.42b	Sediment	24	 6	3
SRR16492776	Sweden	A.2.21b	Sediment	24	 1	3
SRR16492777	Finland	J.3.42b	Sediment	24	 6	2
SRR16492778	Finland	J.3.42b	Sediment	24	 6	1
SRR16492779	Finland	J.3.42b	Sediment	16	 6	3
SRR16492780	Finland	J.3.42b	Sediment	16	 6	2
SRR16492781	Finland	J.3.42b	Sediment	16	 6	1
SRR16492782	Finland	I.3.11a	Sediment	8	 5	3
SRR16492783	Finland	I.3.11a	Sediment	8	 5	2
SRR16492784	Finland	I.3.11a	Sediment	8	 5	1
SRR16492785	Finland	I.3.11a	Sediment	24	 5	3
SRR16492786	Finland	I.3.11a	Sediment	24	 5	2
SRR16492787	Sweden	A.2.21b	Sediment	24	 1	2
SRR16492788	Finland	I.3.11a	Sediment	24	 5	1
SRR16492789	Finland	I.3.11a	Sediment	16	 5	3
SRR16492790	Finland	I.3.11a	Sediment	16	 5	2
SRR16492791	Finland	I.3.11a	Sediment	16	 5	1
SRR16492792	Sweden	F.1.2a	Sediment	8	 4	3
SRR16492793	Sweden	F.1.2a	Sediment	8	 4	2
SRR16492794	Sweden	F.1.2a	Sediment	8	 4	1
SRR16492795	Sweden	B.2.19b	Sediment	16	 2	2
SRR16492796	Sweden	A.2.21b	Sediment	16	 1	2
SRR16492797	Sweden	A.2.21b	Sediment	16	 1	1
